model,F1,Precision,Recall,Support,FNR,FPR
cnn_gru,0.2505201283791435,0.23569804443130943,0.4903495753061118,535059,0.5096504246938882,0.07606035085130504
mlp,0.5292203408049907,0.505198194932913,0.5954236510435732,535059,0.40457634895642675,0.016966319104764795
cnn_lstm,0.5016117975540235,0.48176946188251923,0.5795847641202696,535059,0.42041523587973034,0.019593212621802077
cnn,0.507939322138822,0.4800248473261249,0.5899797230992794,535059,0.4100202769007207,0.022141487058855748
