model_name,test_weighted_f1,test_accuracy,precision,recall,support,global_FPR,global_FNR,Time Consumption (s),CPU_Peak_MB,GPU_Peak_MB,cpu_mem_used,gpu_mem_used
e_gat_no_sampling,81.91999667,0.796785027,0.860721977,0.796785027,535059,0.022579441,0.203214973,1841.991675,17622.375,9819.875,9633.429688,8130
e_graphsage_mean,81.98803113,0.803234783,0.842153943,0.803234783,535059,0.021862802,0.196765217,1391.573485,17435.40234,6257.875,9724.980469,4568
e_gat_sampling,82.24880797,0.812065585,0.837193297,0.812065585,535059,0.020881602,0.187934415,1441.352238,17600.31641,6263.875,9586.433594,4574
e_graphsage_mean_no_sampling,81.61689225,0.787782282,0.863627241,0.787782282,535059,0.023579746,0.212217718,1456.02834,17400.38672,6255.875,9966.703125,4424
e_gcn,82.07227199,0.796975661,0.857705213,0.796975661,535059,0.02255826,0.203024339,1514.010483,16898.26172,6307.875,10262.89844,4984
e_graphsage_sum_no_sampling,85.83556501,0.842193104,0.900854328,0.842193104,535059,0.0175341,0.157806896,1397.326248,17473.55078,6257.875,9689.496094,4568
e_graphsage_sum,82.61976802,0.805769083,0.872366844,0.805769083,535059,0.021581213,0.194230917,1303.506146,17522.74609,6257.875,9680.179688,4568
