model,F1,Precision,Recall,Support,FNR,FPR
cnn,0.6283450006727904,0.5777873462141012,0.825534522608725,281488,0.17446547739127508,0.0045652714364390334
cnn_gru,0.5189819941278515,0.4647038093453754,0.7350553682619035,281488,0.2649446317380966,0.0053930363942239195
cnn_lstm,0.4957373668112042,0.42897384376413095,0.7124716233041395,281488,0.28752837669586057,0.0054371734643766925
mlp,0.6016117024522573,0.5841863758083984,0.7461320497626467,281488,0.2538679502373532,0.005710848530435448
