model_name,test_accuracy,test_weighted_f1,test_loss,recall,precision,test_fpr,test_fnr,test_auc,global_FPR,global_FNR,time_seconds,CPU_Peak_MB,GPU_Peak_MB,cpu_mem_used,gpu_mem_used
cnn_lstm,0.9893920877621781,0.9928067255209422,0.03597312793135643,0.9893920877621781,0.9969595295421417,0.0007577080169872758,0.010607912237821862,99.99557374883938,0.0007577080169872758,0.010607912237821862,1764.672610759735,"(11327.828125,)","(591.875,)","(1238.5546875,)","(184.0,)"
cnn,0.996312453816859,0.9971641214230295,0.055745095014572144,0.996312453816859,0.9984631628081251,0.0002633961559386444,0.003687546183141022,99.99706491010804,0.0002633961559386444,0.003687546183141022,1439.0125284194946,"(11122.69140625,)","(513.875,)","(1238.36328125,)","(110.0,)"
cnn_gru,0.9892855112828967,0.9900355530958173,0.05330224335193634,0.9892855112828967,0.9917429235648317,0.0007653206226502423,0.010714488717103393,99.98854117756515,0.0007653206226502423,0.010714488717103393,1643.0595948696136,"(11551.984375,)","(751.875,)","(1238.34765625,)","(344.0,)"
mlp,0.9944402603308133,0.9960367950614636,0.02549397386610508,0.9944402603308133,0.9981356262268747,0.00039712426208475776,0.005559739669186608,99.99811894907558,0.00039712426208475776,0.005559739669186608,1209.365407705307,"(9645.45703125,)","(483.875,)","(1786.16015625,)","(216.0,)"
