model,F1,Precision,Recall,Support,FNR,FPR
cnn_lstm,0.6864166339265112,0.6959916068592339,0.7886313498562372,281488,0.21136865014376274,0.0007166437323358403
cnn,0.7096680179012098,0.668803840453407,0.8594002038464058,281488,0.1405997961535941,0.00024948965856041257
cnn_gru,0.612268872083,0.598203834234665,0.7085964667886597,281488,0.2914035332113401,0.0007690834737625104
mlp,0.6798104279317162,0.653384245902368,0.8439116798317045,281488,0.15608832016829546,0.00037635018088073954
